month,lat,lng,sla_bucket,orders
2026-04,12.915,77.49,NonQuickDelivery,14
2026-04,13.08,77.565,NonQuickDelivery,14
2026-04,13.005,77.73,NonQuickDelivery,14
2026-04,12.93,77.655,QuickDelivery,14
2026-04,13.035,77.49,NonQuickDelivery,14
2026-04,13.095,77.565,NonQuickDelivery,14
2026-04,12.885,77.685,QuickDelivery,13
2026-04,13.08,77.61,NonQuickDelivery,13
2026-04,12.885,77.535,NonQuickDelivery,13
2026-04,13.005,77.685,NonQuickDelivery,13
2026-04,12.945,77.745,NonQuickDelivery,13
2026-04,12.855,77.535,NonQuickDelivery,13
2026-04,12.96,77.49,NonQuickDelivery,13
2026-04,12.945,77.475,NonQuickDelivery,13
2026-04,13.035,77.52,NonQuickDelivery,12
2026-04,13.08,77.595,NonQuickDelivery,12
2026-04,13.065,77.625,NonQuickDelivery,12
2026-04,13.035,77.505,NonQuickDelivery,12
2026-04,13.05,77.715,NonQuickDelivery,11
2026-04,13.095,77.595,NonQuickDelivery,11
2026-04,12.87,77.565,NonQuickDelivery,11
2026-04,13.11,77.58,NonQuickDelivery,10
2026-04,12.87,77.685,NonQuickDelivery,10
2026-04,12.945,77.505,NonQuickDelivery,10
2026-04,12.945,77.64,NonQuickDelivery,10
2026-04,13.05,77.52,NonQuickDelivery,9
2026-04,13.08,77.58,NonQuickDelivery,9
2026-04,12.915,77.715,NonQuickDelivery,9
2026-04,12.855,77.61,NonQuickDelivery,9
2026-04,12.93,77.715,NonQuickDelivery,8
2026-04,12.945,77.655,NonQuickDelivery,8
2026-04,13.02,77.505,NonQuickDelivery,8
2026-04,12.945,77.67,NonQuickDelivery,8
2026-04,12.915,77.475,NonQuickDelivery,8
2026-04,13.035,77.535,NonQuickDelivery,7
2026-04,12.96,77.76,NonQuickDelivery,7
2026-04,12.84,77.625,NonQuickDelivery,6
2026-04,12.96,77.475,NonQuickDelivery,6
2026-04,12.855,77.64,NonQuickDelivery,6
2026-04,13.02,77.73,NonQuickDelivery,6
2026-04,12.9,77.505,NonQuickDelivery,5
2026-04,13.02,77.49,NonQuickDelivery,5
2026-04,12.81,77.67,NonQuickDelivery,5
2026-04,12.855,77.565,NonQuickDelivery,5
2026-04,12.945,77.76,NonQuickDelivery,5
2026-04,12.84,77.7,NonQuickDelivery,5
2026-04,12.975,77.475,NonQuickDelivery,5
2026-04,12.87,77.52,NonQuickDelivery,5
2026-04,13.005,77.475,NonQuickDelivery,4
2026-04,12.99,77.475,NonQuickDelivery,4
2026-04,13.005,77.76,NonQuickDelivery,3
2026-04,12.885,77.7,QuickDelivery,3
2026-04,12.825,77.64,NonQuickDelivery,2
2026-04,12.885,77.52,NonQuickDelivery,2
2026-04,13.05,77.7,NonQuickDelivery,2
2026-04,12.855,77.55,NonQuickDelivery,2
2026-05,12.9,77.64,NonQuickDelivery,117
2026-05,12.915,77.64,QuickDelivery,114
2026-05,12.915,77.61,NonQuickDelivery,66
2026-05,12.93,77.61,QuickDelivery,65
2026-05,12.93,77.625,QuickDelivery,56
2026-05,12.9,77.655,QuickDelivery,53
2026-05,12.93,77.67,QuickDelivery,50
2026-05,12.885,77.64,QuickDelivery,49
2026-05,12.9,77.625,QuickDelivery,48
2026-05,12.915,77.625,QuickDelivery,47
2026-05,12.9,77.67,QuickDelivery,44
2026-05,12.945,77.625,QuickDelivery,40
2026-05,12.915,77.655,QuickDelivery,40
2026-05,12.96,77.715,NonQuickDelivery,39
2026-05,12.885,77.655,QuickDelivery,36
2026-05,12.915,77.67,QuickDelivery,32
2026-05,12.93,77.64,QuickDelivery,32
2026-05,12.885,77.61,QuickDelivery,27
2026-05,12.9,77.61,QuickDelivery,25
2026-05,12.9,77.595,QuickDelivery,23
